sura,ayat,dominant_topic,confidence
7,201,13,0.25
7,202,4,0.5425532
7,203,12,0.2009804
7,204,0,0.48437497
7,205,4,0.37195122
7,206,12,0.32978722
8,1,11,0.36597937
8,2,0,0.2847222
8,3,10,0.28378376
8,4,12,0.35964912
8,5,13,0.39423078
8,6,3,0.3690476
8,7,13,0.2009804
8,8,1,0.28378376
8,9,12,0.25
8,10,5,0.2847222
8,11,9,0.2113402
8,12,4,0.36160716
8,13,2,0.3690476
8,14,4,0.32812497
8,15,13,0.43617022
8,16,6,0.2990196
8,17,2,0.2012987
8,18,5,0.38888887
8,19,13,0.36597937
8,20,13,0.32978722
8,21,4,0.38888887
8,22,3,0.35964912
8,23,13,0.49456525
8,24,12,0.2771739
8,25,13,0.29807693
8,26,13,0.3505747
8,27,1,0.16935484
8,28,11,0.29807693
8,29,13,0.35416666
8,30,5,0.39705884
8,31,0,0.4236111
8,32,7,0.32978722
8,33,13,0.49038464
8,34,13,0.35416666
8,35,4,0.4919355
8,36,8,0.25
8,37,13,0.33116883
8,38,12,0.35964912
8,39,4,0.25
8,40,13,0.68269235
8,41,11,0.2689394
8,42,13,0.19505493
8,43,13,0.33152175
8,44,13,0.52597404
8,45,13,0.33064517
8,46,13,0.38059703
8,47,8,0.33116883
8,48,13,0.5944882
8,49,5,0.38059703
8,50,9,0.3109756
8,51,12,0.4189189
8,52,0,0.3505747
8,53,3,0.25
8,54,0,0.25
8,55,3,0.3690476
8,56,1,0.60714287
8,57,1,0.5865385
8,58,1,0.4473684
8,59,13,0.4189189
8,60,12,0.23831776
8,61,5,0.622807
8,62,13,0.43617022
8,63,5,0.29310346
8,64,13,0.6891892
8,65,13,0.3169643
8,66,12,0.49509805
8,67,5,0.33152175
8,68,13,0.39423078
8,69,13,0.35416666
8,70,5,0.25
8,71,5,0.4473684
8,72,13,0.38324872
8,73,13,0.56250006
8,74,10,0.2012987
8,75,13,0.37195122
9,1,3,0.29807693
9,2,7,0.2007874
9,3,13,0.3109756
9,4,5,0.19318181
9,5,13,0.2847222
9,6,8,0.18902439
9,7,13,0.2012987
9,8,4,0.4473684
9,9,10,0.28378376
9,10,11,0.37195122
9,11,4,0.57258064
9,12,13,0.36160716
9,13,4,0.38059703
9,14,5,0.4919355
9,15,5,0.21527778
9,16,4,0.3961039
9,17,13,0.2228261
9,18,8,0.25
9,19,11,0.5350877
9,20,9,0.35964912
9,21,9,0.3690476
9,22,13,0.44021744
9,23,11,0.3425926
9,24,13,0.33196723
9,25,7,0.30597016
9,26,5,0.7261905
9,27,5,0.2990196
9,28,6,0.3505747
9,29,6,0.37195122
9,30,6,0.33116883
9,31,12,0.4552239
9,32,6,0.33064517
9,33,13,0.21794872
9,34,8,0.3961039
9,35,13,0.28980893
9,36,6,0.29562044
9,37,11,0.3785047
9,38,5,0.26623377
9,39,13,0.28531075
9,40,11,0.33116883
9,41,12,0.2591241
9,42,1,0.18421052
9,43,11,0.30597016
9,44,2,0.38059703
9,45,13,0.25
9,46,6,0.21794872
9,47,4,0.25
9,48,4,0.33116883
9,49,4,0.25
9,50,12,0.32978722
9,51,7,0.4175258
9,52,13,0.41129032
9,53,4,0.38059703
9,54,11,0.38586956
9,55,13,0.43617022
9,56,6,0.35416666
9,57,13,0.52597404
