sura,ayat,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2,105,0.005747127,0.005747127,0.005747127,0.005747127,0.005747127,0.005747127,0.23563218,0.005747127,0.005747127,0.005747127,0.23563218,0.005747127,0.29310346,0.17816092
2,106,0.071428575,0.006493507,0.006493507,0.006493507,0.006493507,0.26623377,0.071428575,0.006493507,0.006493507,0.071428575,0.006493507,0.071428575,0.13636364,0.26623377
2,107,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.43617022,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.43617022
2,108,0.006493507,0.006493507,0.071428575,0.006493507,0.071428575,0.071428575,0.006493507,0.006493507,0.13636364,0.006493507,0.006493507,0.2012987,0.2012987,0.2012987
2,109,0.004901961,0.05392157,0.004901961,0.004901961,0.15196078,0.25,0.10294117,0.004901961,0.004901961,0.004901961,0.15196078,0.004901961,0.05392157,0.2009804
2,110,0.006944445,0.006944445,0.006944445,0.006944445,0.006944445,0.2847222,0.006944445,0.006944445,0.006944445,0.006944445,0.006944445,0.21527778,0.14583333,0.2847222
2,111,0.008064517,0.41129032,0.08870968,0.008064517,0.008064517,0.008064517,0.08870968,0.008064517,0.008064517,0.16935484,0.08870968,0.008064517,0.08870968,0.008064517
2,112,0.006097561,0.006097561,0.006097561,0.006097561,0.3109756,0.006097561,0.006097561,0.006097561,0.067073174,0.006097561,0.006097561,0.12804878,0.25,0.18902439
2,113,0.059782613,0.0054347827,0.0054347827,0.059782613,0.0054347827,0.0054347827,0.49456525,0.0054347827,0.11413043,0.0054347827,0.059782613,0.059782613,0.059782613,0.059782613
2,114,0.089743584,0.0042735045,0.0042735045,0.0042735045,0.21794872,0.0042735045,0.13247862,0.047008548,0.0042735045,0.13247862,0.0042735045,0.17521368,0.17521368,0.0042735045
2,115,0.008064517,0.008064517,0.008064517,0.008064517,0.008064517,0.41129032,0.16935484,0.008064517,0.008064517,0.16935484,0.008064517,0.008064517,0.008064517,0.16935484
2,116,0.00877193,0.00877193,0.09649123,0.09649123,0.00877193,0.5350877,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.09649123,0.00877193,0.09649123
2,117,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.29807693,0.009615385,0.009615385,0.009615385,0.009615385,0.10576924,0.10576924,0.10576924,0.29807693
2,118,0.071428575,0.006493507,0.006493507,0.33116883,0.071428575,0.006493507,0.006493507,0.006493507,0.006493507,0.006493507,0.006493507,0.071428575,0.2012987,0.2012987
2,119,0.08870968,0.008064517,0.008064517,0.008064517,0.008064517,0.008064517,0.008064517,0.33064517,0.008064517,0.25,0.08870968,0.08870968,0.008064517,0.08870968
