sura,ayat,0,1,2,3,4,5,6,7,8,9
2,25,0.0032258064,0.06774193,0.06774193,0.2935484,0.35806453,0.03548387,0.0032258064,0.0032258064,0.099999994,0.06774193
2,26,0.205,0.005,0.005,0.005,0.005,0.055,0.205,0.055,0.105,0.355
2,27,0.008333334,0.008333334,0.09166667,0.25833333,0.008333334,0.09166667,0.008333334,0.008333334,0.175,0.34166667
2,28,0.011111111,0.011111111,0.67777777,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.23333332
2,29,0.006666667,0.006666667,0.54,0.006666667,0.006666667,0.07333334,0.14,0.006666667,0.14,0.07333334
2,30,0.005263158,0.005263158,0.3736842,0.005263158,0.005263158,0.057894737,0.21578947,0.057894737,0.1631579,0.11052631
2,31,0.008333334,0.008333334,0.008333334,0.008333334,0.09166667,0.09166667,0.09166667,0.09166667,0.175,0.42499998
2,32,0.008333334,0.008333334,0.008333334,0.008333334,0.008333334,0.008333334,0.675,0.008333334,0.09166667,0.175
2,33,0.0045454544,0.0045454544,0.095454544,0.0045454544,0.23181818,0.0045454544,0.0045454544,0.14090909,0.05,0.45909092
2,34,0.008333334,0.008333334,0.25833333,0.09166667,0.34166667,0.008333334,0.008333334,0.09166667,0.09166667,0.09166667
2,35,0.005882353,0.005882353,0.005882353,0.123529404,0.064705886,0.005882353,0.005882353,0.18235293,0.18235293,0.41764706
2,36,0.105,0.005,0.105,0.005,0.155,0.005,0.005,0.155,0.105,0.355
2,37,0.007142857,0.007142857,0.007142857,0.007142857,0.14999999,0.007142857,0.50714284,0.22142856,0.007142857,0.07857143
2,38,0.11666666,0.0055555557,0.0055555557,0.06111111,0.28333333,0.0055555557,0.11666666,0.0055555557,0.17222221,0.22777778
2,39,0.011111111,0.011111111,0.011111111,0.45555556,0.12222222,0.34444442,0.011111111,0.011111111,0.011111111,0.011111111
2,40,0.00625,0.00625,0.00625,0.00625,0.38125,0.00625,0.13125,0.00625,0.25625,0.19375
2,41,0.00625,0.00625,0.00625,0.00625,0.25625,0.31875,0.06875,0.13125,0.06875,0.13125
2,42,0.0125,0.0125,0.0125,0.0125,0.1375,0.0125,0.6375,0.1375,0.0125,0.0125
2,43,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.7625,0.0125,0.1375
2,44,0.008333334,0.008333334,0.008333334,0.008333334,0.42499998,0.008333334,0.008333334,0.25833333,0.09166667,0.175
2,45,0.11,0.01,0.01,0.01,0.01,0.01,0.31,0.41,0.01,0.11
2,46,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82
2,47,0.009090909,0.009090909,0.009090909,0.1,0.46363637,0.009090909,0.19090909,0.009090909,0.1,0.1
2,48,0.175,0.008333334,0.008333334,0.175,0.008333334,0.008333334,0.008333334,0.09166667,0.25833333,0.25833333
2,49,0.004166667,0.004166667,0.0875,0.045833334,0.045833334,0.004166667,0.004166667,0.42083335,0.12916666,0.25416666
2,50,0.009090909,0.1,0.37272727,0.009090909,0.009090909,0.009090909,0.009090909,0.009090909,0.28181818,0.19090909
2,51,0.01,0.01,0.01,0.11,0.01,0.21,0.01,0.11,0.31,0.21
2,52,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.36666667,0.36666667,0.033333335
2,53,0.1375,0.0125,0.0125,0.0125,0.5125,0.1375,0.0125,0.0125,0.0125,0.1375
2,54,0.0037037039,0.0037037039,0.07777777,0.0037037039,0.11481481,0.07777777,0.18888889,0.26296297,0.0037037039,0.26296297
2,55,0.01,0.01,0.01,0.01,0.21,0.21,0.01,0.01,0.01,0.51
2,56,0.025,0.025,0.525,0.025,0.025,0.025,0.025,0.025,0.275,0.025
2,57,0.005263158,0.005263158,0.26842105,0.005263158,0.4263158,0.005263158,0.005263158,0.11052631,0.057894737,0.11052631
2,58,0.004761905,0.004761905,0.004761905,0.099999994,0.052380953,0.004761905,0.004761905,0.099999994,0.24285714,0.4809524
2,59,0.008333334,0.008333334,0.09166667,0.008333334,0.175,0.008333334,0.008333334,0.175,0.008333334,0.5083333
2,60,0.0038461538,0.0038461538,0.35000002,0.0038461538,0.0038461538,0.0038461538,0.042307694,0.080769226,0.23461539,0.27307692
2,61,0.0020833334,0.022916667,0.12708333,0.022916667,0.06458333,0.14791666,0.0020833334,0.14791666,0.14791666,0.31458333
2,62,0.004761905,0.19523808,0.004761905,0.052380953,0.099999994,0.004761905,0.004761905,0.19523808,0.099999994,0.33809525
